GENERATION 1
278 // [[0, 0, 0, 5], [1, 0, 0, -3], [1, 0, 1, -4], [1, 0, 0, -6], [0, 0, 0, -1], [0, 4, 3, 6], [1, 3, 0, 3], [0, 4, 1, -6], [0, 3, 2, -4], [0, 1, 1, 4], [1, 3, 0, -3], [0, 0, 0, 3], [1, 5, 0, 3], [0, 3, 2, 5], [1, 4, 0, 6], [0, 5, 3, 6], [1, 0, 0, 5], [0, 5, 4, -2], [0, 1, 0, -1], [1, 3, 0, 5], [0, 0, 5, 5], [1, 0, 0, -6], [0, 1, 5, -5], [1, 4, 1, 2]]
107 // [[1, 0, 0, -3], [0, 1, 1, -2], [1, 1, 0, 6], [0, 4, 2, -4], [1, 0, 0, -5], [1, 0, 0, -4], [0, 0, 2, 6], [0, 5, 4, 5], [1, 4, 0, 6], [1, 2, 0, -1], [0, 2, 0, -4], [1, 4, 0, -4], [0, 0, 5, 1], [1, 2, 0, 4], [0, 4, 0, -1], [0, 3, 2, 0], [1, 5, 0, -2], [0, 6, 0, 2], [0, 1, 2, 3], [1, 5, 0, -3], [0, 5, 2, -2], [0, 0, 5, 3], [0, 0, 2, 2], [1, 0, 0, -3]]
107 // [[0, 6, 1, 0], [1, 0, 0, -3], [1, 0, 0, 6], [0, 4, 0, -1], [0, 1, 0, 4], [0, 0, 0, 5], [1, 5, 0, -3], [0, 5, 5, -5], [1, 1, 1, 4], [1, 4, 0, -1], [1, 1, 0, -3], [0, 2, 0, -1], [0, 2, 0, 5], [1, 1, 0, -1], [0, 3, 0, 2], [1, 5, 0, -6], [1, 4, 0, 5], [1, 4, 0, 2], [0, 5, 4, -1], [1, 1, 0, -4], [1, 0, 0, 6], [0, 6, 2, 6], [0, 4, 5, 1], [1, 0, 0, 6]]
107 // [[1, 0, 0, 2], [1, 1, 0, 3], [1, 5, 0, 6], [0, 4, 0, 2], [0, 6, 3, 0], [0, 3, 4, 5], [1, 2, 0, -6], [0, 0, 0, 3], [1, 3, 0, -6], [0, 2, 5, -6], [0, 2, 0, 1], [1, 5, 0, -5], [1, 0, 1, -1], [0, 4, 5, -5], [1, 4, 0, 1], [1, 0, 0, 0], [1, 1, 0, 3], [0, 6, 4, -4], [0, 5, 4, 5], [1, 1, 1, 4], [1, 2, 0, 3], [0, 6, 0, 5], [1, 4, 0, -1], [0, 3, 4, 6]]
107 // [[1, 5, 0, 2], [0, 3, 3, -1], [0, 4, 0, 5], [0, 4, 5, -1], [0, 0, 1, -2], [0, 6, 4, -3], [1, 0, 0, 6], [1, 3, 0, 4], [0, 0, 4, 1], [1, 4, 0, 3], [0, 0, 0, -1], [0, 1, 2, -2], [0, 6, 5, 0], [0, 4, 5, -6], [0, 4, 4, 5], [1, 0, 0, 2], [0, 2, 2, 6], [1, 3, 0, 3], [0, 1, 0, -2], [0, 0, 3, 5], [1, 2, 0, 4], [0, 4, 0, 1], [0, 3, 3, -2], [0, 5, 4, 0]]
107 // [[0, 0, 2, 4], [1, 3, 0, -5], [0, 0, 2, -3], [0, 4, 0, -2], [1, 1, 0, -6], [1, 0, 0, 3], [1, 2, 0, -5], [0, 3, 0, -6], [0, 0, 0, 4], [0, 1, 0, 6], [1, 5, 0, 5], [1, 3, 0, 1], [0, 6, 1, 2], [0, 6, 5, -2], [0, 3, 2, -3], [0, 5, 4, 3], [0, 1, 1, -2], [1, 1, 0, -6], [0, 3, 0, 4], [1, 5, 0, 4], [0, 0, 4, 4], [0, 1, 0, 0], [0, 4, 0, -4], [0, 1, 1, -2]]
107 // [[1, 3, 0, -4], [0, 0, 4, -4], [0, 6, 4, -6], [0, 5, 0, 1], [0, 1, 0, 2], [0, 3, 0, -6], [0, 6, 1, 0], [0, 3, 5, -1], [0, 1, 3, 5], [1, 5, 0, 3], [0, 5, 0, 5], [0, 5, 2, 4], [0, 1, 1, -1], [0, 5, 0, 3], [1, 2, 0, 2], [0, 5, 5, 2], [0, 1, 1, -5], [0, 4, 2, 3], [0, 4, 0, -1], [1, 3, 0, 1], [0, 5, 0, 4], [1, 4, 0, 6], [0, 5, 4, -6], [1, 0, 0, 1]]
107 // [[0, 4, 0, -4], [1, 3, 0, 1], [0, 3, 3, 5], [0, 6, 3, 6], [0, 0, 1, 1], [0, 0, 2, -4], [1, 5, 0, -2], [0, 4, 0, -6], [0, 0, 3, -6], [0, 5, 5, 0], [0, 2, 2, -5], [0, 0, 4, 1], [0, 4, 4, 6], [1, 2, 0, -4], [1, 0, 0, 0], [0, 0, 4, -3], [0, 3, 0, -1], [1, 0, 0, 2], [0, 5, 4, 5], [0, 1, 3, -2], [0, 4, 0, -1], [0, 1, 3, 3], [0, 6, 0, 2], [0, 2, 0, -2]]
107 // [[1, 0, 0, 1], [0, 3, 5, -5], [0, 2, 3, -1], [1, 1, 0, 1], [1, 3, 0, -6], [1, 3, 0, -1], [0, 0, 4, 0], [0, 2, 3, -6], [0, 0, 1, 2], [1, 3, 0, 5], [1, 3, 0, -5], [0, 0, 4, 3], [1, 0, 0, -6], [1, 2, 0, 2], [0, 5, 0, 3], [1, 1, 0, 6], [0, 0, 1, -1], [1, 1, 0, -6], [0, 0, 2, 0], [1, 0, 0, 4], [0, 4, 1, 3], [0, 0, 4, 0], [1, 5, 0, -3], [1, 0, 0, 2]]
107 // [[0, 2, 2, 3], [1, 0, 0, 6], [1, 4, 0, -5], [0, 3, 4, 0], [0, 2, 3, 0], [0, 5, 0, 4], [0, 0, 0, 5], [1, 2, 0, 5], [0, 5, 0, -1], [1, 0, 0, 6], [0, 1, 5, 4], [0, 3, 1, 3], [0, 0, 2, 6], [1, 0, 0, -6], [0, 6, 5, -5], [0, 2, 3, 4], [1, 0, 0, -4], [1, 1, 0, 4], [1, 4, 0, 4], [0, 2, 0, -6], [0, 3, 4, -2], [0, 5, 5, -6], [0, 1, 0, -6], [0, 3, 1, 6]]
51 // [[0, 0, 0, 1], [1, 0, 0, 2], [0, 3, 0, 3], [1, 3, 0, -6], [0, 0, 2, 6], [0, 2, 0, 0], [0, 3, 5, -6], [0, 4, 2, 5], [0, 0, 4, -1], [0, 0, 2, 3], [1, 0, 0, 0], [0, 5, 2, 6], [0, 6, 4, 5], [0, 2, 0, 6], [0, 2, 0, -1], [0, 1, 0, 4], [0, 1, 0, 2], [0, 1, 3, 4], [1, 4, 0, 1], [1, 2, 0, 1], [0, 0, 0, 1], [1, 3, 0, 6], [1, 2, 0, -5], [1, 0, 0, 4]]
51 // [[1, 2, 0, -4], [0, 0, 3, -2], [0, 6, 1, -1], [0, 2, 0, 0], [1, 3, 0, 0], [1, 1, 0, -6], [1, 1, 0, -4], [1, 1, 0, 5], [0, 1, 2, 2], [0, 5, 0, 5], [0, 6, 0, 0], [0, 4, 0, -6], [0, 5, 0, 0], [0, 6, 0, 5], [1, 0, 0, -5], [0, 6, 5, -1], [1, 4, 0, 3], [0, 0, 0, 0], [1, 3, 0, -1], [0, 1, 3, -6], [0, 2, 0, -4], [1, 0, 0, 2], [0, 2, 1, -2], [0, 0, 4, -1]]
50 // [[0, 3, 3, 2], [0, 5, 3, -1], [0, 2, 0, 3], [0, 2, 4, -1], [1, 1, 0, -3], [0, 3, 2, 3], [1, 0, 0, -4], [0, 2, 4, -2], [0, 3, 2, 3], [0, 5, 0, 2], [0, 2, 0, 4], [0, 2, 2, -3], [0, 5, 0, -2], [0, 0, 2, 3], [0, 3, 3, 4], [0, 2, 5, -4], [0, 3, 0, -5], [0, 0, 2, 1], [0, 0, 0, 1], [0, 5, 4, 3], [1, 0, 0, -1], [0, 4, 5, 0], [0, 0, 3, -3], [0, 1, 2, 2]]
50 // [[0, 0, 3, -3], [0, 6, 5, -5], [1, 1, 0, 3], [0, 1, 4, -4], [0, 4, 1, -3], [1, 3, 0, -4], [0, 1, 0, -5], [1, 1, 0, 6], [1, 5, 0, -5], [0, 4, 1, 6], [1, 0, 1, 6], [0, 0, 2, -3], [1, 0, 0, 4], [0, 1, 5, 2], [0, 2, 0, 3], [1, 5, 0, 2], [0, 3, 2, -2], [0, 2, 5, -2], [0, 6, 1, -3], [0, 6, 0, 6], [0, 4, 2, 1], [1, 0, 1, 5], [1, 0, 0, -6], [1, 2, 0, 1]]
49 // [[1, 3, 1, 2], [1, 0, 0, -5], [1, 0, 0, -3], [0, 5, 1, -1], [1, 1, 0, -1], [0, 6, 0, 2], [1, 1, 0, 5], [0, 1, 5, -4], [0, 0, 0, -4], [0, 1, 4, -1], [0, 5, 2, -5], [0, 1, 5, 0], [0, 1, 1, 1], [0, 6, 1, 6], [0, 3, 0, -6], [0, 2, 0, 4], [0, 0, 1, 3], [0, 4, 2, 1], [1, 1, 0, -6], [0, 5, 1, 2], [1, 3, 0, 0], [1, 3, 0, 3], [1, 1, 0, -5], [0, 0, 0, -6]]
49 // [[0, 4, 4, 5], [1, 1, 0, 4], [0, 1, 0, 5], [0, 5, 3, 0], [1, 0, 0, 4], [0, 4, 2, 4], [0, 2, 0, -2], [0, 4, 5, 2], [1, 0, 0, -1], [1, 0, 0, 5], [1, 0, 1, 2], [1, 3, 0, 5], [0, 0, 0, -6], [0, 1, 2, 3], [0, 0, 5, 6], [0, 0, 0, -2], [0, 5, 1, -1], [1, 3, 0, 0], [0, 5, 0, -4], [1, 0, 0, -1], [0, 3, 4, 1], [0, 2, 3, 6], [1, 3, 0, 5], [0, 0, 0, 1]]
49 // [[0, 3, 4, 2], [0, 2, 0, 0], [0, 0, 5, 6], [1, 0, 0, 1], [0, 4, 0, 0], [0, 0, 0, -6], [0, 4, 0, -3], [0, 3, 2, 0], [0, 4, 5, 5], [0, 3, 4, -2], [1, 3, 0, -6], [0, 4, 0, 0], [1, 5, 0, -4], [1, 0, 0, -5], [1, 2, 0, -1], [0, 0, 0, -3], [0, 5, 0, -1], [0, 0, 0, 3], [0, 2, 2, 0], [0, 1, 0, -2], [0, 5, 3, 3], [0, 6, 0, 3], [0, 3, 3, 4], [1, 1, 0, -6]]
49 // [[0, 4, 0, -5], [0, 4, 4, 6], [1, 1, 0, 4], [0, 5, 0, -1], [1, 1, 0, 0], [0, 1, 0, 2], [0, 0, 4, 3], [0, 1, 0, 3], [0, 0, 2, 2], [0, 4, 5, -2], [0, 0, 1, 3], [0, 6, 2, 4], [0, 0, 2, -2], [1, 4, 0, -1], [1, 4, 0, -4], [0, 0, 0, 4], [0, 5, 3, 1], [0, 1, 3, -1], [1, 0, 1, -1], [0, 0, 5, -4], [1, 1, 0, 6], [0, 0, 0, 0], [0, 0, 5, 6], [1, 0, 0, -4]]
49 // [[1, 0, 0, 1], [1, 1, 0, 0], [0, 0, 0, -1], [0, 3, 0, -6], [1, 5, 0, -5], [0, 0, 2, -1], [1, 0, 0, -6], [0, 0, 4, -1], [0, 0, 4, -4], [0, 0, 5, 5], [1, 1, 0, -5], [0, 0, 0, 6], [0, 6, 5, 4], [0, 1, 0, -2], [0, 0, 5, -1], [0, 0, 5, 3], [1, 0, 0, 5], [0, 0, 2, -4], [0, 3, 2, 0], [0, 0, 0, -5], [0, 6, 2, -1], [0, 4, 0, 4], [0, 5, 0, 2], [0, 1, 5, -3]]
49 // [[1, 0, 0, -1], [0, 4, 1, 0], [0, 3, 2, 5], [1, 0, 0, 1], [1, 0, 0, -2], [0, 0, 0, -1], [0, 0, 3, 1], [0, 5, 0, -3], [0, 0, 4, 5], [0, 0, 4, 6], [0, 1, 5, -2], [1, 2, 0, -3], [0, 5, 0, 0], [0, 5, 1, 1], [1, 0, 0, -2], [0, 6, 4, -6], [0, 0, 4, -1], [0, 5, 0, 4], [0, 0, 1, 2], [0, 0, 5, -4], [1, 5, 0, 4], [1, 4, 0, -1], [1, 4, 0, 2], [0, 4, 1, -6]]
49 // [[0, 1, 2, -1], [0, 0, 3, 4], [0, 0, 5, -1], [0, 1, 0, 0], [0, 0, 0, 5], [0, 5, 2, 3], [0, 3, 2, 3], [0, 1, 0, 3], [1, 0, 0, -1], [0, 3, 5, -2], [0, 0, 5, -4], [1, 0, 0, -5], [1, 0, 0, -5], [0, 0, 0, 4], [0, 0, 0, 0], [1, 2, 0, 3], [0, 5, 0, 6], [0, 3, 5, -6], [0, 2, 0, 1], [0, 4, 4, 2], [0, 4, 4, -2], [1, 5, 0, 6], [0, 0, 1, -1], [1, 4, 1, 3]]
48 // [[0, 6, 0, 3], [0, 3, 3, -2], [0, 0, 1, -1], [0, 0, 0, 0], [1, 4, 0, 3], [0, 2, 1, 2], [0, 3, 0, -5], [1, 3, 0, -3], [0, 4, 2, 5], [0, 4, 0, 5], [1, 0, 0, 3], [1, 1, 0, 2], [1, 0, 0, 1], [0, 6, 3, 2], [0, 3, 3, 5], [0, 0, 5, -3], [0, 4, 0, -6], [1, 1, 0, 3], [0, 3, 2, 3], [0, 1, 0, -2], [1, 0, 1, 5], [0, 1, 5, 0], [0, 2, 1, -1], [1, 1, 0, -5]]
48 // [[0, 1, 4, -2], [1, 0, 0, 3], [1, 0, 0, -4], [0, 4, 0, 2], [0, 6, 2, 6], [0, 6, 4, -2], [1, 0, 1, 1], [0, 0, 2, 2], [1, 2, 0, -6], [0, 1, 3, 4], [0, 0, 5, -2], [0, 6, 3, -5], [0, 2, 0, 1], [0, 1, 2, -1], [1, 1, 0, -4], [0, 0, 1, 3], [1, 0, 0, -6], [1, 5, 0, -3], [0, 0, 0, -1], [0, 1, 3, -3], [0, 3, 5, 3], [0, 6, 2, 5], [0, 0, 1, 6], [0, 6, 0, -5]]
48 // [[0, 6, 1, -6], [0, 0, 3, -5], [1, 1, 0, -6], [0, 6, 0, 1], [0, 6, 4, -5], [0, 3, 0, -4], [1, 2, 0, -4], [1, 0, 0, -1], [0, 4, 5, -6], [1, 2, 0, -1], [0, 0, 0, -6], [0, 0, 0, -5], [0, 4, 1, 2], [0, 6, 1, 1], [0, 0, 4, 6], [0, 3, 5, -6], [0, 4, 4, 1], [0, 2, 3, -4], [1, 4, 1, -5], [1, 0, 0, -3], [0, 3, 0, -3], [0, 0, 1, 6], [1, 1, 0, -3], [0, 3, 0, -3]]
48 // [[0, 2, 5, 6], [1, 1, 0, 0], [0, 3, 4, 0], [1, 5, 0, -1], [1, 4, 0, -3], [1, 5, 1, 3], [0, 0, 4, 4], [1, 0, 0, -5], [0, 2, 1, 1], [0, 0, 0, 5], [0, 0, 0, 6], [0, 6, 4, 3], [0, 0, 0, -4], [0, 6, 0, 1], [0, 1, 0, 4], [0, 6, 3, -1], [0, 4, 3, 1], [1, 0, 0, -2], [1, 1, 0, 3], [0, 2, 3, -1], [1, 5, 1, 6], [0, 0, 5, 5], [1, 1, 1, 5], [0, 2, 4, 0]]
48 // [[0, 0, 0, -6], [1, 0, 0, -4], [0, 0, 0, -6], [0, 0, 0, -6], [0, 0, 2, -1], [1, 5, 1, 3], [0, 3, 0, 6], [1, 3, 0, -3], [1, 0, 1, -4], [0, 0, 0, 5], [0, 0, 0, 5], [1, 0, 0, -2], [1, 0, 0, 5], [1, 4, 1, 3], [0, 0, 1, -1], [1, 3, 0, -3], [0, 3, 2, -3], [0, 4, 3, -6], [1, 1, 0, -4], [1, 3, 0, 5], [0, 5, 0, 2], [0, 0, 4, 1], [0, 6, 1, 4], [1, 4, 1, 4]]
48 // [[0, 0, 0, -1], [0, 3, 0, 3], [0, 5, 1, 5], [0, 4, 2, 4], [0, 4, 0, 1], [0, 0, 2, -1], [0, 1, 0, -2], [1, 1, 0, -5], [0, 6, 2, -5], [0, 4, 3, -6], [0, 6, 1, -6], [0, 3, 0, -1], [0, 0, 2, 3], [0, 1, 0, 4], [1, 0, 0, -4], [0, 4, 1, 5], [0, 6, 0, 5], [0, 5, 1, 2], [0, 2, 3, -1], [0, 2, 0, 0], [0, 0, 5, 4], [0, 0, 2, 2], [1, 3, 0, -3], [0, 1, 4, 4]]
48 // [[1, 0, 0, -2], [0, 4, 2, -6], [0, 0, 0, -1], [1, 4, 0, 4], [1, 2, 0, -5], [0, 1, 0, 6], [1, 1, 0, 4], [0, 1, 0, -6], [0, 1, 0, 4], [0, 4, 0, -5], [0, 0, 3, -3], [0, 0, 2, 6], [1, 0, 0, 3], [1, 3, 1, 4], [0, 6, 1, -4], [0, 0, 4, 3], [1, 4, 0, 1], [0, 0, 0, 3], [1, 0, 0, 0], [0, 6, 4, -5], [1, 0, 0, -3], [0, 2, 0, -5], [1, 0, 0, -2], [0, 5, 3, 5]]
48 // [[1, 4, 1, -2], [1, 1, 0, 4], [0, 0, 0, 2], [0, 0, 0, 4], [1, 4, 0, -2], [1, 0, 0, -3], [0, 3, 0, -4], [0, 5, 4, -4], [0, 5, 1, 2], [0, 5, 4, 1], [0, 1, 1, -3], [0, 4, 4, -5], [1, 2, 1, -5], [0, 6, 4, 4], [0, 0, 3, 5], [0, 0, 0, 5], [0, 2, 4, -1], [1, 0, 0, -3], [0, 4, 2, 3], [0, 2, 0, -3], [1, 0, 0, 3], [1, 2, 0, 1], [0, 0, 0, -1], [1, 1, 0, 2]]
48 // [[0, 1, 0, 0], [0, 0, 5, -6], [0, 5, 2, 5], [1, 5, 1, 6], [1, 5, 1, -2], [1, 0, 0, -4], [0, 0, 4, 6], [0, 2, 0, -2], [0, 0, 2, -2], [0, 3, 2, -2], [0, 5, 5, 5], [1, 0, 0, -3], [0, 4, 0, -6], [0, 2, 1, 3], [1, 1, 0, 3], [0, 5, 5, 5], [0, 0, 0, -3], [1, 2, 0, 1], [0, 6, 2, 4], [1, 0, 0, 3], [1, 0, 0, 0], [0, 0, 0, 5], [0, 0, 0, 0], [0, 4, 0, -3]]
47 // [[1, 4, 0, 3], [0, 4, 2, -4], [0, 1, 0, -6], [1, 1, 1, 3], [0, 0, 1, 6], [0, 2, 3, 4], [0, 1, 5, 1], [1, 1, 0, -6], [0, 0, 0, 2], [0, 3, 0, -4], [1, 0, 0, -2], [0, 4, 1, -6], [1, 3, 0, 1], [0, 0, 0, -6], [1, 0, 0, 2], [0, 3, 0, 1], [0, 6, 1, 5], [0, 5, 4, -4], [1, 5, 0, 0], [1, 5, 1, 5], [0, 0, 0, -3], [0, 0, 3, 3], [0, 1, 4, 0], [1, 0, 0, -4]]
47 // [[1, 0, 0, -3], [0, 6, 0, 5], [1, 3, 1, -1], [0, 5, 5, 1], [0, 1, 3, -6], [0, 2, 4, 5], [1, 0, 0, -3], [0, 2, 1, 4], [0, 3, 3, -2], [1, 4, 0, 6], [1, 0, 0, 1], [1, 0, 0, -2], [0, 0, 0, -6], [0, 2, 3, 2], [1, 0, 0, 6], [1, 5, 0, -4], [1, 2, 0, 4], [0, 0, 4, 5], [0, 0, 0, -3], [0, 5, 4, -4], [1, 5, 0, 5], [0, 1, 0, 0], [1, 0, 0, 3], [1, 5, 0, -6]]
47 // [[1, 4, 1, -1], [1, 0, 0, -1], [1, 1, 0, 0], [0, 3, 1, 2], [0, 3, 2, 0], [1, 0, 0, 4], [1, 0, 0, 0], [0, 5, 1, -4], [0, 2, 0, -3], [0, 2, 1, 5], [0, 0, 0, -6], [0, 4, 0, -2], [0, 0, 5, -5], [1, 2, 0, -2], [0, 5, 1, 0], [0, 2, 4, -3], [0, 4, 3, 0], [1, 3, 0, 1], [1, 1, 0, 6], [1, 5, 0, 1], [0, 4, 4, -3], [0, 6, 4, -2], [0, 6, 1, -2], [0, 1, 3, 5]]
47 // [[0, 3, 4, -3], [0, 1, 3, -4], [0, 5, 0, -3], [0, 4, 3, -6], [0, 0, 0, 5], [0, 0, 0, -5], [0, 5, 2, -6], [1, 0, 0, 3], [1, 2, 0, 5], [0, 1, 2, 6], [0, 4, 4, -6], [0, 4, 0, -1], [0, 4, 0, 6], [0, 4, 5, 3], [0, 3, 0, 2], [1, 5, 0, 2], [0, 3, 1, 0], [0, 0, 3, -2], [1, 4, 0, -2], [1, 2, 0, -4], [0, 5, 3, 5], [0, 3, 1, -1], [1, 5, 0, 4], [1, 4, 0, -3]]
47 // [[1, 2, 0, 1], [0, 4, 4, 1], [0, 1, 0, 1], [0, 0, 3, 0], [0, 6, 1, 1], [0, 3, 5, 2], [1, 1, 1, 1], [1, 2, 0, -4], [0, 0, 0, 6], [0, 6, 3, -1], [0, 0, 0, -4], [1, 1, 0, -6], [0, 1, 3, -5], [0, 4, 3, 5], [0, 2, 0, 3], [0, 2, 1, 4], [0, 0, 5, -2], [0, 1, 0, -1], [0, 4, 0, -2], [0, 6, 0, 4], [0, 0, 3, 0], [0, 1, 5, 0], [0, 1, 0, -5], [1, 1, 0, -2]]
47 // [[1, 3, 0, 6], [0, 6, 5, -6], [1, 2, 0, 0], [0, 3, 0, -3], [0, 6, 4, 1], [0, 3, 3, 2], [0, 0, 0, 2], [0, 1, 0, 3], [0, 2, 1, -4], [1, 4, 0, -6], [0, 3, 1, -4], [1, 2, 0, -5], [0, 0, 1, 3], [0, 5, 2, -5], [0, 1, 5, 2], [0, 6, 2, 6], [0, 0, 5, 6], [0, 3, 4, -4], [0, 0, 0, -3], [0, 6, 4, -2], [0, 4, 0, -4], [1, 0, 0, -1], [0, 5, 0, 6], [1, 0, 0, 4]]
